대표메뉴명,요리재료
계란볶음밥 ,밥 대파 계란 진간장 참기름 굴소스
김밥,밥 김 햄 단무지 오이 당근 계란 맛살 참기름 
떡볶이,떡볶이떡 대파 고추장 고춧가루 어묵 설탕
리조또,베이컨 양파 올리브유 밥 모짜렐라치즈 파슬리 버섯 다진마늘
김치볶음밥,밥 김치 스팸 올리브유 진간장 계란 굴소스 대파
비빔밥,밥 돼지고기 애호박 당근 양파 상추 시금치 고추장 간장 참기름
유부초밥,유부 당근 피망 스팸 깨 밥 참기름 
전복죽,전복 밥 당근 양파 새우 들기름 표고버섯 참기름
오므라이스,햄 양파 감자 당근 대파 밥 케찹 계란 굴소스 돈까스소스
카레라이스,돼지고기 감자 당근 햄 카레 밥
