대표메뉴명,요리재료
고구마맛탕,고구마 올리고당 설탕 물 통깨
아이스크림,주스 휘핑크림 우유 계란노른자
카나페,크래커 방울토마토 크래미 마요네즈 햄 치즈
케이크,박력분 계란 설탕 올리브오일 레몬즙
푸딩,우유 젤라틴 노른자 설탕 물 물엿
빙수 ,얼음 단팥 미숫가루 젤리 찹쌀떡 우유 연유
웨지감자,감자 올리브오일 다진마늘 소금 후추 
콘치즈,옥수수콘 치즈 설탕 버터 마요네즈
티라미수 ,크림치즈 설탕 달걀 우유 생크림 커피 과자 코코아파우더 
강정,호두 아몬드 견과류 올리고당 설탕 
