대표메뉴명,요리재료
샌드위치,식빵 햄 양파 삶은달걀 치즈 토마토 상추
토스트,식빵 달걀 양파 당근 설탕 소금 후추 버터 마요네즈 케첩
팬케이크,중력분 설탕 베이킹파우더 우유 달걀 버터 생크림
브라우니,중력분 달걀 설탕 소금 버터 초콜릿 코코아 바닐라향
피자,피자도우 모짜렐라치즈 토마토 양송이버섯 올리브 토마토소스 양파 햄 피망
컵케이크,박력분 버터 설탕 소금 달걀 베이킹파우더 건포도 호두 적포도주
버거,소고기 모닝빵 양파 양상추 치즈 베이컨 토마토 빵가루 달걀 버터 소금 후추 소스
핫도그,핫도그가루 물 식용유 달걀 소시지
호떡,중력분 설탕 식용유 흑설탕 이스트 소금 물 땅콩분태
와플,박력분 설탕 달걀 바닐라익스트랙 베이킹파우더 소금 우유 식용유 버터
