대표메뉴명,요리재료
스테이크,소고기 소금 식용유 올리브유 후추 파슬리
라자냐,라자냐면 양파 토마토소스 후추 파마산치즈 소금 물 소고기 다진마늘 치즈 오이
크림파스타,올리브유 베이컨 소금 우유 다진마늘 양파 파스타면 체다치즈 후추 양송이버섯 버터
토마토파스타,토마토소스 파스타면 소금 통마늘 올리브오일 토마토 양파
감바스,올리브유 통마늘 후추 파슬리 새우 페퍼론치노 소금 바게트빵
피자,피자도우 모짜렐라치즈 토마토 양송이버섯 올리브 양파 토마토소스 햄 피망
돈까스,식용유 돼지고기 튀김가루 빵가루 소금 후추 양배추 밀가루 버터 식초 간장 설탕 케첩 물
스크램블에그,달걀 우유 버터 소금 설탕 후추
로제리조또,편마늘 베이컨 치즈스톡 버섯 토마토 우유 양파 로제소스 밥
알리오올리오,올리브유 스파게티면 통마늘 다진마늘 페페론치니 소금 물
