대표메뉴명,요리재료
토마토파스타,파스타면 파마산치즈 토마토소스 양파 마늘 새우 버섯 
크림파스타,양파 베이컨 우유 마늘 파스타면 체다치즈 양송이버섯 생크림
비빔국수,국수 소면 김치 고추장 고춧가루 다진마늘 참기름 식초 설탕
수제비 ,밀가루 물 양파 당근 호박 다진마늘 멸치 국간장
잔치국수,국수 소면 멸치 애호박 당근 김치 계란 다진마늘 고춧가루 참기름
칼국수,칼국수면 멸치 다시마 계란 애호박 당근 새우 다진마늘 국간장 
쫄면 ,쫄면 상추 당근 오이 콩나물 계란 고춧가루 간장 고추장
짜장면,양파 양배추 돼지고기 오이 면 춘장 설탕
우동,우동면 가쓰오부시 쯔유 국간장 쑥갓 어묵 유부 멸치 
짬뽕,오징어 돼지고기 양배추 당근 호박 양파 청양고추 고춧가루 면
