대표메뉴명,요리재료
된장찌개,두부 애호박 양파 대파 청양고추 된장 다진마늘 멸치
김치찌개,김치 양파 대파 국간장 멸치육수 두부 돼지고기 스팸
순두부찌개,순두부 다진마늘 고춧가루 멸치육수 버섯 대파 계란
부대찌개,소고기 소시지 햄 김치 콩나물 라면사리 양파 대파 고춧가루  
고추장찌개,돼지고기 감자 두부 애호박 양파 청양고추 대파 고추장 다진마늘 
청국장,청국장 두부 호박 김치 다진마늘 청양고추 대파
동태찌개,동태 양파 무 다시마 대파 멸치 콩나물 쑥갓 두부 
콩비지찌개 ,콩비지 김치 다진마늘 간장 대파
짜글이,스팸 감자 햄 양파 대파 팽이버섯 청양고추 고추장 간장
오징어찌개,오징어 양파 청양고추 콩나물 대파 멸치 고춧가루 다진마늘 국간장
