대표메뉴명,요리재료
닭가슴살샐러드,닭가슴살 양파 로메인 방울토마토 파슬리 올리브유 머스타드 다진마늘 소금 후추 드레싱
토마토샐러드,방울토마토 어린잎채소 식초 올리브유 다진양파 소금 꿀
연어샐러드,연어 샐러드야채 다진양파 식초 레몬즙 설탕 소금 다진마늘 통깨 후춧가루 올리브오일 드레싱
감자샐러드,감자 달걀 당근 양파 오이 마요네즈 머스타드
해파리냉채,해파리 식초 설탕 다진마늘 식초 설탕 소금 참기름 연겨자 파프리카 오이 맛살
코울슬로,양배추 파프리카 캔옥수수 마요네즈 식초 설탕 소금 후추
단호박샐러드,단호박 아몬드 후춧가루 크랜베리 마요네즈 소금
고구마샐러드,고구마 당근 후추 마요네즈 꿀 양파 소금 버터 머스타드 우유
콘샐러드,캔옥수수 양파 당근 마요네즈 허니머스타드 식초 설탕 소금 후추
카프레제,토마토 모짜렐라 치즈 바질 올리브유 올리브 발사믹크림
