대표메뉴명,요리재료
미역국,미역 소고기 간장 참기름 소금
닭볶음탕,닭 감자 당근 설탕 간장 고춧가루 다진마늘
콩나물국,콩나물 고추 쪽파 마늘 소금
된장국,멸치 무 감자 버섯 대파 된장 다진마늘 두부
어묵탕,무 어묵 청양고추 대파 참치액 국간장 다진마늘 소금 후추
떡국,떡 계란 소고기 대파 김가루 멸치 액젓 다진마늘 
계란국,계란 물 대파 소금 액젓 다시마 멸치
육개장 ,소고기 고사리 대파 숙주 버섯 식용유 참기름 고춧가루 다진마늘 국간장 소금
삼계탕,닭 약재 찹쌀 마늘 소금 대파
북어국,황태채 콩나물 무 대파 계란 양파 국간장 참기름 다진마늘 소금
