대표메뉴명,요리재료
그라탕,새우 파프리카 버섯 식빵 식용유 다진마늘 토마토소스 모짜렐라치즈 파슬리가루
퀘사디아,또띠아 당근 올리고당 후추 양파 옥수수콘 마요네즈 모짜렐라치즈
또띠아,또띠아 양파 햄 베이컨 달걀 치즈 다진파 버터 소금 후추 설탕
브리또,양상추 닭가슴살 밥 옥수수콘 치즈 또띠아
오코노미야끼,밀가루 물 맛술 오징어 마요네즈 돈가스소스 달걀 양배추 베이컨 가쓰오부시 쪽파
치킨,닭고기 소금 허브가루 튀김가루 올리브오일 후추
떡볶이,떡 물 대파 깨 고추장 고춧가루 간장 설탕
감자전,감자 물 소금 식용유 간장 식초 청양고추
타코,또띠아 양상추 양송이버섯 양파 청양고추 체다치즈 토마토 다진소고기 타코시즈닝 사워크림 살사소스
치즈김치전,부침가루 양파 김치 치즈 물
