대표메뉴명,요리재료
감자스프,감자 양파 소금 우유 버터
단호박스프,단호박 버터 식용유 우유 올리고당 양파 물 생크림 소금
크림스프,파슬리가루 소금 후추 버터 밀가루 우유
양송이스프,양송이 양파 마늘 버터 올리브유 우유 생크림 소금 후추
옥수수스프,캔옥수수 양파 치즈 우유 버터 소금 후추 파슬리가루
카레,카레 양파 호박 감자 당근 고구마
토마토스프,토마토 양파 마슬리가루 올리브오일 소금
야채스프,감자 당근 양배추 양파 호박 피망 올리브유 마늘 토마토페이스트 치킨스톡 소금 후추 파슬리가루
치킨스프,닭고기 당근 달걀 물 치킨스톡
클램차우더,바지락 물 양파 감자 화이트와인 조개육수 우유 생크림 소금 후추
